pool;seed;col;adults;stock;inflow;pickup;unload;eclosed;eggs
pretrain-warm-v2;42;0;0;0.0;0.000;0;0;24;39
pretrain-warm-v2;42;1;0;0.0;0.000;0;0;24;39
pretrain-warm-v2;7;0;0;0.0;0.000;0;0;24;39
pretrain-warm-v2;7;1;0;0.0;0.000;0;0;24;39
pretrain-warm-v2;99;0;0;0.0;0.000;2;0;24;39
pretrain-warm-v2;99;1;0;0.0;0.000;2;0;24;39
pretrain-warm-v2;1234;0;0;0.0;0.000;2;1;25;48
pretrain-warm-v2;1234;1;0;0.0;0.000;2;1;25;48
pretrain-warm-v2;777;0;0;0.0;0.000;1;0;27;40
pretrain-warm-v2;777;1;0;0.0;0.000;1;0;27;40
pretrain-warm2;42;0;0;0.0;0.000;0;0;24;39
pretrain-warm2;42;1;0;0.0;0.000;0;0;24;39
pretrain-warm2;7;0;0;0.0;0.000;0;0;24;39
pretrain-warm2;7;1;0;0.0;0.000;0;0;24;39
pretrain-warm2;99;0;0;0.0;0.000;3;1;25;49
pretrain-warm2;99;1;0;0.0;0.000;3;1;25;49
pretrain-warm2;1234;0;0;0.0;0.000;2;1;26;49
pretrain-warm2;1234;1;0;0.0;0.000;2;1;26;49
pretrain-warm2;777;0;0;0.0;0.000;0;0;27;40
pretrain-warm2;777;1;0;0.0;0.000;0;0;27;40
pretrain-hybrid;42;0;0;0.0;0.000;0;0;24;39
pretrain-hybrid;42;1;0;0.0;0.000;0;0;24;39
pretrain-hybrid;7;0;0;0.0;0.000;0;0;24;39
pretrain-hybrid;7;1;0;0.0;0.000;0;0;24;39
pretrain-hybrid;99;0;0;0.0;0.000;2;0;24;39
pretrain-hybrid;99;1;0;0.0;0.000;2;0;24;39
pretrain-hybrid;1234;0;0;0.0;0.000;2;0;25;39
pretrain-hybrid;1234;1;0;0.0;0.000;2;0;25;39
pretrain-hybrid;777;0;0;0.0;0.000;2;0;27;40
pretrain-hybrid;777;1;0;0.0;0.000;2;0;27;40
