# tick|speed|keys|children|world|relay|anim (playpass-live.sh, seed 42 grid 96 speed 3 ticks 7200)
444|3|||ants=20,items=24,nests=2,oob=0|0:0,1:0|15567
608|3|||ants=20,items=24,nests=2,oob=0|0:0,1:0|15661
782|3|||ants=20,items=24,nests=2,oob=0|0:0,1:0|15758
947|3|||ants=22,items=24,nests=2,oob=0|0:0,1:0|17356
1107|3|||ants=22,items=24,nests=2,oob=0|0:0,1:0|17421
1268|3|||ants=22,items=24,nests=2,oob=0|0:0,1:0|17501
1434|3|||ants=24,items=24,nests=2,oob=0|0:0,1:0|19115
1596|3|||ants=24,items=24,nests=2,oob=0|0:0,1:0|19177
1758|3|||ants=24,items=24,nests=2,oob=0|0:0,1:0|19265
1921|3|||ants=26,items=24,nests=2,oob=0|0:0,1:0|20920
2082|3|||ants=26,items=24,nests=2,oob=0|0:0,1:0|21062
2243|3|||ants=28,items=24,nests=2,oob=0|0:0,1:0|22749
2405|3|||ants=28,items=24,nests=2,oob=0|0:0,1:0|22913
2567|3|||ants=30,items=24,nests=2,oob=0|0:0,1:0|24673
2731|3|||ants=30,items=24,nests=2,oob=0|0:0,1:0|24835
2895|3|||ants=32,items=24,nests=2,oob=0|0:0,1:0|26470
3063|3|||ants=32,items=24,nests=2,oob=0|0:0,1:0|26552
3229|3|||ants=34,items=25,nests=2,oob=0|0:0,1:0|24249
3392|3|||ants=34,items=25,nests=2,oob=0|0:0,1:0|20991
3556|3|||ants=36,items=25,nests=2,oob=0|0:0,1:0|16815
3717|3|||ants=36,items=27,nests=2,oob=0|0:0,1:0|13916
3877|3|||ants=38,items=26,nests=2,oob=0|0:0,1:0|13728
4041|3|first-unload|first-unload|ants=38,items=26,nests=2,oob=0|0:2,1:0|13762
4204|3|||ants=38,items=26,nests=2,oob=0|0:2,1:0|13778
4367|3|||ants=40,items=26,nests=2,oob=0|0:2,1:0|14468
4528|3|||ants=40,items=27,nests=2,oob=0|0:2,1:0|12838
4693|3|||ants=40,items=27,nests=2,oob=0|0:2,1:0|12834
4853|3|laying:1,laying:0|laying:1,laying:0|ants=42,items=27,nests=2,oob=0|0:2,1:0|13765
5015|3|||ants=42,items=27,nests=2,oob=0|0:2,1:0|13251
5179|3|||ants=42,items=28,nests=2,oob=0|0:2,1:0|12382
5340|3|||ants=43,items=28,nests=2,oob=0|0:2,1:0|12220
5536|3|||ants=43,items=27,nests=2,oob=0|0:2,1:0|10804
5702|3|||ants=43,items=26,nests=2,oob=0|0:2,1:0|10796
5867|3|||ants=43,items=26,nests=2,oob=0|0:2,1:0|9564
6034|3|||ants=43,items=26,nests=2,oob=0|0:2,1:0|8648
6201|3|||ants=43,items=26,nests=2,oob=0|0:2,1:0|8674
6363|3|||ants=43,items=27,nests=2,oob=0|0:2,1:0|7246
6524|3|||ants=43,items=27,nests=2,oob=0|0:2,1:0|5279
6690|3|||ants=43,items=27,nests=2,oob=0|0:2,1:0|5268
6856|3|||ants=43,items=28,nests=2,oob=0|0:2,1:0|3842
7016|3|||ants=43,items=28,nests=2,oob=0|0:2,1:0|3354
7177|3|||ants=43,items=28,nests=2,oob=0|0:2,1:0|3332
7200|3|||ants=43,items=28,nests=2,oob=0|0:2,1:0|3327
