seed 7 pop 24 band 200-260
warm-started 24 genomes from artifacts/pretrain-warm2.antgenome
gen stage=1 gen=1 best=150.096 mean=100.088 competent=0
gen stage=1 gen=2 best=147.297 mean=112.113 competent=0
gen stage=1 gen=3 best=149.856 mean=102.260 competent=0
gen stage=1 gen=4 best=176.886 mean=129.498 competent=2
gen stage=1 gen=5 best=144.633 mean=109.631 competent=0
gen stage=1 gen=6 best=148.544 mean=113.258 competent=0
gen stage=1 gen=7 best=152.165 mean=109.863 competent=0
gen stage=1 gen=8 best=165.172 mean=134.059 competent=2
gen stage=1 gen=9 best=150.100 mean=120.419 competent=0
gen stage=1 gen=10 best=157.837 mean=93.410 competent=0
gen stage=1 gen=11 best=157.616 mean=99.555 competent=0
gen stage=1 gen=12 best=142.821 mean=114.673 competent=0
gen stage=1 gen=13 best=168.473 mean=131.111 competent=0
gen stage=1 gen=14 best=148.175 mean=120.373 competent=0
gen stage=1 gen=15 best=147.824 mean=113.648 competent=0
gen stage=2 gen=1 best=316.671 mean=213.003 competent=20
gen stage=2 gen=2 best=256.930 mean=177.575 competent=19
gen stage=2 gen=3 best=305.399 mean=213.877 competent=22
gen stage=2 gen=4 best=279.878 mean=178.666 competent=19
gen stage=2 gen=5 best=262.904 mean=180.597 competent=19
gen stage=2 gen=6 best=287.427 mean=192.831 competent=20
gen stage=2 gen=7 best=335.352 mean=214.075 competent=20
gen stage=2 gen=8 best=272.596 mean=185.907 competent=21
gen stage=2 gen=9 best=310.655 mean=218.063 competent=21
gen stage=2 gen=10 best=291.692 mean=197.096 competent=20
gen stage=2 gen=11 best=293.482 mean=185.973 competent=19
gen stage=2 gen=12 best=311.696 mean=222.964 competent=21
gen stage=2 gen=13 best=301.508 mean=171.653 competent=17
gen stage=2 gen=14 best=291.006 mean=209.846 competent=22
gen stage=2 gen=15 best=291.556 mean=210.701 competent=21
gen stage=3 gen=1 best=429.607 mean=330.209 competent=22
gen stage=3 gen=2 best=414.233 mean=285.761 competent=23
gen stage=3 gen=3 best=431.226 mean=299.444 competent=21
gen stage=3 gen=4 best=423.321 mean=266.205 competent=19
gen stage=3 gen=5 best=386.397 mean=239.695 competent=20
gen stage=3 gen=6 best=369.482 mean=275.416 competent=22
gen stage=3 gen=7 best=438.608 mean=296.440 competent=23
gen stage=3 gen=8 best=435.579 mean=303.235 competent=21
gen stage=3 gen=9 best=450.681 mean=289.258 competent=23
gen stage=3 gen=10 best=457.742 mean=364.805 competent=23
gen stage=3 gen=11 best=441.173 mean=301.514 competent=23
gen stage=3 gen=12 best=458.791 mean=334.075 competent=23
gen stage=3 gen=13 best=428.226 mean=308.842 competent=24
gen stage=3 gen=14 best=429.006 mean=339.250 competent=24
gen stage=3 gen=15 best=428.061 mean=337.879 competent=24
trained 24 genomes, stages 3
exported 24 genomes to artifacts/pretrain-warm-v2.antgenome
