seed 7 pop 24 band 200-450
warm-started 24 genomes from artifacts/pretrain-warm2.antgenome
gen stage=1 gen=1 best=240.957 mean=134.392 competent=8
gen stage=1 gen=2 best=216.802 mean=137.583 competent=7
gen stage=1 gen=3 best=199.284 mean=124.279 competent=3
gen stage=1 gen=4 best=212.574 mean=157.341 competent=7
gen stage=1 gen=5 best=227.266 mean=143.744 competent=6
gen stage=1 gen=6 best=214.742 mean=151.916 competent=6
gen stage=1 gen=7 best=219.440 mean=162.631 competent=7
gen stage=1 gen=8 best=250.322 mean=177.042 competent=15
gen stage=1 gen=9 best=218.865 mean=155.112 competent=7
gen stage=1 gen=10 best=236.798 mean=143.304 competent=3
gen stage=1 gen=11 best=219.485 mean=139.677 competent=6
gen stage=1 gen=12 best=212.575 mean=152.345 competent=4
gen stage=1 gen=13 best=234.214 mean=163.651 competent=12
gen stage=1 gen=14 best=216.881 mean=134.615 competent=6
gen stage=1 gen=15 best=216.739 mean=153.853 competent=7
gen stage=2 gen=1 best=381.056 mean=267.486 competent=22
gen stage=2 gen=2 best=347.037 mean=251.839 competent=22
gen stage=2 gen=3 best=371.557 mean=279.367 competent=24
gen stage=2 gen=4 best=384.437 mean=254.203 competent=21
gen stage=2 gen=5 best=361.818 mean=266.858 competent=23
gen stage=2 gen=6 best=334.086 mean=249.540 competent=23
gen stage=2 gen=7 best=341.946 mean=226.573 competent=22
gen stage=2 gen=8 best=362.254 mean=264.320 competent=23
gen stage=2 gen=9 best=388.266 mean=270.393 competent=22
gen stage=2 gen=10 best=348.762 mean=230.453 competent=21
gen stage=2 gen=11 best=382.185 mean=255.244 competent=22
gen stage=2 gen=12 best=325.362 mean=238.846 competent=22
gen stage=2 gen=13 best=341.817 mean=244.914 competent=24
gen stage=2 gen=14 best=311.066 mean=217.354 competent=23
gen stage=2 gen=15 best=344.124 mean=224.760 competent=20
gen stage=3 gen=1 best=468.726 mean=321.837 competent=21
gen stage=3 gen=2 best=445.488 mean=345.309 competent=23
gen stage=3 gen=3 best=524.524 mean=356.722 competent=24
gen stage=3 gen=4 best=497.754 mean=311.595 competent=21
gen stage=3 gen=5 best=405.319 mean=266.606 competent=21
gen stage=3 gen=6 best=454.952 mean=299.301 competent=22
gen stage=3 gen=7 best=476.778 mean=364.727 competent=23
gen stage=3 gen=8 best=447.914 mean=325.242 competent=22
gen stage=3 gen=9 best=456.237 mean=323.769 competent=21
gen stage=3 gen=10 best=498.469 mean=330.902 competent=21
gen stage=3 gen=11 best=461.582 mean=288.568 competent=18
gen stage=3 gen=12 best=540.068 mean=320.296 competent=19
gen stage=3 gen=13 best=447.424 mean=343.450 competent=22
gen stage=3 gen=14 best=457.831 mean=317.679 competent=23
gen stage=3 gen=15 best=554.692 mean=372.550 competent=23
trained 24 genomes, stages 3
exported 24 genomes to artifacts/pretrain-warm3-v2.antgenome
