seed 7 pop 24 band 200-450
warm-started 24 genomes from artifacts/pretrain-warm2.antgenome
gen stage=1 gen=1 best=114.275 mean=73.978 competent=0
gen stage=1 gen=2 best=111.421 mean=76.645 competent=0
gen stage=1 gen=3 best=106.613 mean=78.340 competent=0
gen stage=1 gen=4 best=110.387 mean=86.123 competent=1
gen stage=1 gen=5 best=111.163 mean=69.011 competent=0
gen stage=1 gen=6 best=103.011 mean=78.030 competent=0
gen stage=1 gen=7 best=107.874 mean=78.928 competent=0
gen stage=1 gen=8 best=124.793 mean=89.036 competent=0
gen stage=1 gen=9 best=114.822 mean=83.394 competent=0
gen stage=1 gen=10 best=96.652 mean=84.362 competent=0
gen stage=1 gen=11 best=96.807 mean=75.576 competent=0
gen stage=1 gen=12 best=107.524 mean=84.774 competent=0
gen stage=1 gen=13 best=110.716 mean=82.800 competent=0
gen stage=1 gen=14 best=106.779 mean=74.712 competent=0
gen stage=1 gen=15 best=118.869 mean=80.269 competent=0
gen stage=2 gen=1 best=176.618 mean=111.141 competent=13
gen stage=2 gen=2 best=154.791 mean=104.410 competent=15
gen stage=2 gen=3 best=181.419 mean=122.122 competent=16
gen stage=2 gen=4 best=212.460 mean=123.377 competent=18
gen stage=2 gen=5 best=186.637 mean=110.231 competent=16
gen stage=2 gen=6 best=158.356 mean=97.070 competent=10
gen stage=2 gen=7 best=176.987 mean=115.041 competent=18
gen stage=2 gen=8 best=152.915 mean=115.716 competent=13
gen stage=2 gen=9 best=165.855 mean=111.223 competent=14
gen stage=2 gen=10 best=166.931 mean=111.514 competent=18
gen stage=2 gen=11 best=177.323 mean=117.877 competent=20
gen stage=2 gen=12 best=175.976 mean=123.444 competent=19
gen stage=2 gen=13 best=170.603 mean=125.363 competent=20
gen stage=2 gen=14 best=162.956 mean=109.047 competent=15
gen stage=2 gen=15 best=169.213 mean=128.257 competent=19
gen stage=3 gen=1 best=239.834 mean=196.250 competent=23
gen stage=3 gen=2 best=224.097 mean=168.698 competent=22
gen stage=3 gen=3 best=268.337 mean=168.086 competent=22
gen stage=3 gen=4 best=225.459 mean=150.111 competent=20
gen stage=3 gen=5 best=216.429 mean=141.965 competent=19
gen stage=3 gen=6 best=214.072 mean=154.992 competent=22
gen stage=3 gen=7 best=275.329 mean=152.065 competent=18
gen stage=3 gen=8 best=222.801 mean=165.815 competent=21
gen stage=3 gen=9 best=223.807 mean=162.824 competent=23
gen stage=3 gen=10 best=262.322 mean=178.217 competent=24
gen stage=3 gen=11 best=246.053 mean=166.903 competent=22
gen stage=3 gen=12 best=251.734 mean=146.460 competent=20
gen stage=3 gen=13 best=210.192 mean=133.097 competent=21
gen stage=3 gen=14 best=282.496 mean=156.147 competent=20
gen stage=3 gen=15 best=246.087 mean=164.686 competent=23
trained 24 genomes, stages 3
exported 24 genomes to artifacts/pretrain-warm3.antgenome
