seed 7 pop 24 band 200-450
warm-started 24 genomes from artifacts/pretrain-warm2.antgenome
gen stage=1 gen=1 best=114.275 mean=73.978 competent=0
gen stage=1 gen=2 best=111.421 mean=76.645 competent=0
gen stage=1 gen=3 best=106.613 mean=78.340 competent=0
gen stage=1 gen=4 best=123.648 mean=86.676 competent=1
gen stage=1 gen=5 best=111.163 mean=69.011 competent=0
gen stage=1 gen=6 best=103.011 mean=78.030 competent=0
gen stage=1 gen=7 best=107.874 mean=78.928 competent=0
gen stage=1 gen=8 best=124.793 mean=89.036 competent=0
gen stage=1 gen=9 best=114.822 mean=83.394 competent=0
gen stage=1 gen=10 best=96.652 mean=84.362 competent=0
gen stage=1 gen=11 best=96.807 mean=75.576 competent=0
gen stage=1 gen=12 best=107.524 mean=84.774 competent=0
gen stage=1 gen=13 best=110.716 mean=82.800 competent=0
gen stage=1 gen=14 best=106.779 mean=74.712 competent=0
gen stage=1 gen=15 best=118.869 mean=80.269 competent=0
gen stage=2 gen=1 best=196.988 mean=116.321 competent=14
gen stage=2 gen=2 best=184.610 mean=110.277 competent=14
gen stage=2 gen=3 best=248.966 mean=130.987 competent=19
gen stage=2 gen=4 best=192.867 mean=126.966 competent=17
gen stage=2 gen=5 best=186.443 mean=111.104 competent=13
gen stage=2 gen=6 best=191.364 mean=116.238 competent=16
gen stage=2 gen=7 best=194.463 mean=131.120 competent=21
gen stage=2 gen=8 best=200.386 mean=123.381 competent=18
gen stage=2 gen=9 best=180.905 mean=116.611 competent=18
gen stage=2 gen=10 best=184.437 mean=120.559 competent=19
gen stage=2 gen=11 best=201.108 mean=123.309 competent=17
gen stage=2 gen=12 best=207.132 mean=133.106 competent=18
gen stage=2 gen=13 best=236.131 mean=139.333 competent=22
gen stage=2 gen=14 best=181.436 mean=131.820 competent=20
gen stage=2 gen=15 best=179.476 mean=123.465 competent=20
gen stage=3 gen=1 best=309.918 mean=193.245 competent=24
gen stage=3 gen=2 best=319.485 mean=187.416 competent=22
gen stage=3 gen=3 best=256.431 mean=177.742 competent=24
gen stage=3 gen=4 best=280.997 mean=175.476 competent=22
gen stage=3 gen=5 best=231.167 mean=141.521 competent=20
gen stage=3 gen=6 best=245.306 mean=145.288 competent=21
gen stage=3 gen=7 best=290.676 mean=159.864 competent=20
gen stage=3 gen=8 best=270.254 mean=177.082 competent=21
gen stage=3 gen=9 best=230.017 mean=152.050 competent=22
gen stage=3 gen=10 best=313.923 mean=186.107 competent=22
gen stage=3 gen=11 best=275.577 mean=171.053 competent=22
gen stage=3 gen=12 best=285.282 mean=190.300 competent=23
gen stage=3 gen=13 best=247.915 mean=172.440 competent=21
gen stage=3 gen=14 best=290.652 mean=169.142 competent=18
gen stage=3 gen=15 best=257.520 mean=174.328 competent=22
trained 24 genomes, stages 3
exported 24 genomes to artifacts/pretrain-warm3b.antgenome
