seed 7 pop 24 band 200-450
warm-started 24 genomes from artifacts/pretrain-warm2.antgenome
gen stage=1 gen=1 best=114.275 mean=73.978 competent=0
gen stage=1 gen=2 best=111.421 mean=76.645 competent=0
gen stage=1 gen=3 best=106.613 mean=78.340 competent=0
gen stage=1 gen=4 best=135.251 mean=87.159 competent=1
gen stage=1 gen=5 best=111.163 mean=69.011 competent=0
gen stage=1 gen=6 best=103.011 mean=78.030 competent=0
gen stage=1 gen=7 best=107.874 mean=78.928 competent=0
gen stage=1 gen=8 best=124.793 mean=89.036 competent=0
gen stage=1 gen=9 best=114.822 mean=83.394 competent=0
gen stage=1 gen=10 best=96.652 mean=84.362 competent=0
gen stage=1 gen=11 best=96.807 mean=75.576 competent=0
gen stage=1 gen=12 best=107.524 mean=84.774 competent=0
gen stage=1 gen=13 best=110.716 mean=82.800 competent=0
gen stage=1 gen=14 best=106.779 mean=74.712 competent=0
gen stage=1 gen=15 best=118.869 mean=80.269 competent=0
gen stage=2 gen=1 best=214.813 mean=120.883 competent=14
gen stage=2 gen=2 best=196.569 mean=110.537 competent=12
gen stage=2 gen=3 best=222.807 mean=128.033 competent=18
gen stage=2 gen=4 best=221.594 mean=115.444 competent=13
gen stage=2 gen=5 best=199.667 mean=124.126 competent=17
gen stage=2 gen=6 best=165.896 mean=115.054 competent=16
gen stage=2 gen=7 best=192.889 mean=126.024 competent=18
gen stage=2 gen=8 best=176.206 mean=119.019 competent=15
gen stage=2 gen=9 best=200.835 mean=126.290 competent=18
gen stage=2 gen=10 best=210.640 mean=127.794 competent=18
gen stage=2 gen=11 best=224.120 mean=154.410 competent=22
gen stage=2 gen=12 best=228.072 mean=138.707 competent=19
gen stage=2 gen=13 best=190.087 mean=124.868 competent=17
gen stage=2 gen=14 best=200.406 mean=129.891 competent=20
gen stage=2 gen=15 best=175.261 mean=130.004 competent=16
gen stage=3 gen=1 best=290.345 mean=210.071 competent=23
gen stage=3 gen=2 best=325.163 mean=193.631 competent=22
gen stage=3 gen=3 best=299.607 mean=189.272 competent=22
gen stage=3 gen=4 best=277.973 mean=170.348 competent=23
gen stage=3 gen=5 best=296.618 mean=162.072 competent=22
gen stage=3 gen=6 best=263.643 mean=185.717 competent=23
gen stage=3 gen=7 best=339.056 mean=217.275 competent=23
gen stage=3 gen=8 best=279.656 mean=203.933 competent=24
gen stage=3 gen=9 best=246.471 mean=148.520 competent=18
gen stage=3 gen=10 best=287.079 mean=179.732 competent=21
gen stage=3 gen=11 best=308.690 mean=194.049 competent=21
gen stage=3 gen=12 best=282.631 mean=192.304 competent=21
gen stage=3 gen=13 best=262.992 mean=143.686 competent=17
gen stage=3 gen=14 best=290.284 mean=169.692 competent=20
gen stage=3 gen=15 best=256.302 mean=146.694 competent=16
trained 24 genomes, stages 3
exported 24 genomes to artifacts/pretrain-warm3c.antgenome
