tick stock runway consume eggs larvae pupae maxNutr adults pick unl ecd top5
0 99,99 100,4 0,995 4 0 0 0,00 10 0 0 0 []
600 91,01 201,2 0,452 1 5 0 1,58 10 0 0 0 [1,58,0,00,0,00,0,00,0,00]
1200 80,75 168,6 0,479 1 2 1 0,29 11 0 0 1 [0,29,0,00]
1800 69,50 131,5 0,528 1 2 1 1,24 12 0 0 2 [1,24,0,00]
2400 56,38 93,8 0,601 1 2 1 0,67 14 2 0 4 [0,67,0,00]
3000 42,14 67,1 0,628 1 3 1 0,43 14 5 0 6 [0,43,0,00,0,00]
3600 32,14 85,2 0,377 0 4 1 1,06 7 5 0 7 [1,06,0,00,0,00,0,00]
4200 23,93 65,5 0,365 1 2 1 1,16 8 5 0 8 [1,16,0,00]
4800 15,09 39,0 0,386 1 2 0 1,73 8 7 0 10 [1,73,0,00]
5400 8,19 25,9 0,316 0 2 1 0,10 7 7 0 11 [0,10,0,00]
6000 2,82 12,3 0,229 0 0 0 0,00 6 7 0 12 []
6600 3,39 40,4 0,084 1 0 0 0,00 5 9 1 12 []
7200 0,00 0,0 0,041 0 0 0 0,00 3 10 1 12 []
7800 0,00 0,0 0,001 0 0 0 0,00 2 11 1 12 []
8400 0,00 0,0 0,000 0 0 0 0,00 1 11 1 12 []
9000 0,00 0,0 0,000 0 0 0 0,00 0 11 1 12 []
9600 0,00 0,0 0,000 0 0 0 0,00 0 11 1 12 []
10200 0,00 0,0 0,000 0 0 0 0,00 0 11 1 12 []
10800 0,00 0,0 0,000 0 0 0 0,00 0 11 1 12 []
11400 0,00 0,0 0,000 0 0 0 0,00 0 11 1 12 []
FINAL pickup=11 unload=1 eclosed=12 items=27
