gen stage=1 gen=1 best=34,144 mean=9,184 competent=0
gen stage=1 gen=2 best=36,308 mean=14,142 competent=0
gen stage=1 gen=3 best=36,360 mean=14,711 competent=0
gen stage=1 gen=4 best=35,439 mean=16,767 competent=0
gen stage=1 gen=5 best=41,513 mean=19,594 competent=0
gen stage=1 gen=6 best=40,475 mean=24,871 competent=0
gen stage=1 gen=7 best=41,748 mean=24,085 competent=0
gen stage=1 gen=8 best=40,844 mean=29,373 competent=0
gen stage=1 gen=9 best=42,338 mean=33,773 competent=0
gen stage=1 gen=10 best=44,531 mean=34,086 competent=0
gen stage=1 gen=11 best=43,056 mean=36,419 competent=0
gen stage=1 gen=12 best=46,122 mean=38,679 competent=0
gen stage=1 gen=13 best=42,255 mean=40,050 competent=0
gen stage=1 gen=14 best=45,272 mean=41,369 competent=0
gen stage=1 gen=15 best=46,907 mean=42,166 competent=0
gen stage=1 gen=16 best=45,096 mean=39,704 competent=0
gen stage=1 gen=17 best=47,298 mean=41,389 competent=0
gen stage=1 gen=18 best=47,865 mean=41,624 competent=0
gen stage=1 gen=19 best=46,992 mean=40,279 competent=0
gen stage=1 gen=20 best=46,850 mean=40,151 competent=0
gen stage=1 gen=21 best=48,193 mean=42,186 competent=0
gen stage=1 gen=22 best=49,972 mean=36,878 competent=0
gen stage=1 gen=23 best=48,202 mean=42,574 competent=0
gen stage=1 gen=24 best=49,142 mean=42,529 competent=0
gen stage=1 gen=25 best=49,709 mean=38,248 competent=0
gen stage=1 gen=26 best=48,513 mean=37,178 competent=0
gen stage=1 gen=27 best=47,673 mean=38,047 competent=0
gen stage=1 gen=28 best=47,382 mean=39,335 competent=0
gen stage=1 gen=29 best=48,633 mean=40,125 competent=0
gen stage=1 gen=30 best=49,961 mean=34,608 competent=0
